"Medicare Part B Drug Spending and Utilization, Calendar Years 2013 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,Calendar Year 2017,,,,,,,,Yearly Change  ,
J9025,"Injection, azacitidine, 1 mg",Azacitidine*,Azacitidine*,"$226,435,208","40,337,856","185,252","8,629",$5.61,"$1,222.31","$26,241.19","$194,394,911","41,886,976","188,065","8,816",$4.64,"$1,033.66","$22,050.24","$142,093,666","43,009,073","190,458","8,924",$3.30,$746.06,"$15,922.64","$125,411,374","43,978,126","196,685","9,014",$2.85,$637.63,"$13,912.95","$88,774,274","43,468,989","195,766","9,059",$2.04,$453.47,"$9,799.57",$2.08,-28.38%,-22.34%
J9027,"Injection, clofarabine, 1 mg",Clofarabine*,Clofarabine*,"$3,725,325","29,542",474,112,$126.10,"$7,859.34","$33,261.83","$2,545,815","19,714",346,84,$129.14,"$7,357.85","$30,307.32","$2,425,852","18,130",381,74,$133.80,"$6,367.07","$32,781.79","$2,237,628","15,609",260,59,$143.36,"$8,606.26","$37,925.90","$2,512,413","17,004",317,54,$147.75,"$7,925.59","$46,526.17",$151.68,3.07%,4.04%
J9031,Bcg (intravesical) per instillation,BCG (Tice Strain) (J9031)*,BCG Live*,"$19,287,728","163,357","159,495","29,154",$118.07,$120.93,$661.58,"$18,314,743","153,454","150,035","28,303",$119.35,$122.07,$647.10,"$18,151,130","151,463","147,891","27,451",$119.84,$122.73,$661.22,"$21,771,377","179,625","175,239","31,370",$121.20,$124.24,$694.02,"$23,359,842","184,570","179,816","32,322",$126.56,$129.91,$722.72,$128.83,4.42%,1.75%
J9032,"Injection, belinostat, 10 mg",Beleodaq,Belinostat, , , , , , , , , , , , , , , , , , , , , ,"$5,109,877","158,219",695,58,$32.30,"$7,352.34","$88,101.32","$6,466,993","188,757",678,59,$34.26,"$9,538.34","$109,610.04",$34.85,6.08%,6.08%
J9033,"Injection, bendamustine hcl (treanda), 1 mg",Treanda,Bendamustine HCL,"$316,474,555","15,433,370","81,213","14,690",$20.51,"$3,896.85","$21,543.54","$303,135,491","14,257,140","74,770","13,338",$21.26,"$4,054.24","$22,727.21","$309,830,015","13,312,628","68,399","12,159",$23.27,"$4,529.74","$25,481.54","$263,268,524","10,641,670","56,203","10,591",$24.74,"$4,684.24","$24,857.76","$57,259,503","2,075,736","11,041","2,541",$27.59,"$5,186.08","$22,534.24",$28.51,11.50%,7.70%
J9035,"Injection, bevacizumab, 10 mg",Avastin,Bevacizumab,"$1,033,757,739","16,372,218","773,152","187,239",$63.14,"$1,337.07","$5,521.06","$1,062,350,620","16,399,512","884,465","216,189",$64.78,"$1,201.12","$4,913.99","$1,118,194,040","16,565,454","881,658","208,362",$67.50,"$1,268.29","$5,366.59","$1,110,360,974","15,854,384","880,731","207,284",$70.03,"$1,260.73","$5,356.71","$1,066,675,107","14,663,254","913,146","219,512",$72.74,"$1,168.13","$4,859.30",$74.34,3.87%,3.60%
J9039,"Injection, blinatumomab, 1 microgram",Blincyto,Blinatumomab, , , , , , , , , , , , , , , , , , , , , ,"$6,030,813","51,284",605,68,$117.60,"$9,968.29","$88,688.43","$9,838,903","80,148","1,061",93,$122.76,"$9,273.24","$105,794.66",$102.86,4.39%,4.39%
J9040,"Injection, bleomycin sulfate, 15 units",Bleo 15k*,Bleomycin Sulfate*,"$144,625","6,999","4,348","1,290",$20.66,$33.26,$112.11,"$129,898","6,423","3,997","1,244",$20.22,$32.50,$104.42,"$142,579","6,248","3,920","1,213",$22.82,$36.37,$117.54,"$109,453","5,222","3,386","1,088",$20.96,$32.33,$100.60,"$205,438","4,880","3,217","1,168",$42.10,$63.86,$175.89,$44.95,100.85%,19.47%
J9041,"Injection, bortezomib, 0.1 mg",Velcade,Bortezomib,"$449,637,281","10,192,273","269,476","20,290",$44.12,"$1,668.56","$22,160.54","$471,323,043","10,468,144","272,835","20,351",$45.02,"$1,727.50","$23,159.70","$505,044,275","11,017,480","285,114","21,021",$45.84,"$1,771.38","$24,025.70","$490,073,108","10,695,993","276,502","20,652",$45.82,"$1,772.40","$23,730.06","$483,709,071","10,627,606","275,104","20,553",$45.51,"$1,758.28","$23,534.72",$46.56,-0.66%,0.78%
J9042,"Injection, brentuximab vedotin, 1 mg",Adcetris,Brentuximab Vedotin,"$39,688,956","399,457","2,740",645,$99.36,"$14,485.02","$61,533.26","$52,242,753","489,631","3,449",762,$106.70,"$15,147.22","$68,560.04","$61,780,796","535,723","3,760",825,$115.32,"$16,431.06","$74,885.81","$73,690,617","593,261","4,199",897,$124.21,"$17,549.56","$82,152.30","$92,352,212","687,699","4,870","1,072",$134.29,"$18,963.49","$86,149.45",$136.93,8.11%,7.82%
J9043,"Injection, cabazitaxel, 1 mg",Jevtana,Cabazitaxel,"$65,903,394","479,654","8,040","1,958",$137.40,"$8,196.94","$33,658.53","$68,589,143","492,894","8,311","1,979",$139.16,"$8,252.81","$34,658.49","$74,346,800","518,915","8,733","2,129",$143.27,"$8,513.32","$34,921.00","$87,567,653","592,853","10,019","2,432",$147.71,"$8,740.16","$36,006.44","$92,640,872","604,293","10,161","2,454",$153.30,"$9,117.30","$37,750.97",$156.73,3.79%,2.78%
J9045,"Injection, carboplatin, 50 mg",Carboplatin,Carboplatin,"$4,681,054","1,479,524","218,882","46,770",$3.16,$21.39,$100.09,"$4,777,291","1,424,287","211,373","44,888",$3.35,$22.60,$106.43,"$5,005,810","1,320,921","193,826","41,831",$3.79,$25.83,$119.67,"$4,394,079","1,236,067","179,381","39,443",$3.55,$24.50,$111.40,"$3,761,375","1,088,205","157,256","34,959",$3.46,$23.92,$107.59,$3.51,-2.77%,2.24%
J9047,"Injection, carfilzomib, 1 mg",Kyprolis,Carfilzomib, , , , , , , ,"$158,940,456","5,477,549","74,851","4,264",$29.02,"$2,123.42","$37,274.97","$227,741,022","7,578,247","100,318","5,561",$30.05,"$2,270.19","$40,953.25","$268,991,277","8,636,973","110,008","5,865",$31.14,"$2,445.20","$45,863.82","$252,997,460","7,983,739","99,740","5,334",$31.69,"$2,536.57","$47,431.09",$32.33,1.75%,2.98%
J9050,"Injection, carmustine, 100 mg",Bicnu,Carmustine,"$306,435",892,334,174,$343.54,$917.47,"$1,761.12","$1,321,556",923,324,174,"$1,431.81","$4,078.88","$7,595.15","$1,187,750",544,183,108,"$2,183.36","$6,490.44","$10,997.68","$1,476,708",450,130,90,"$3,281.57","$11,359.29","$16,407.87","$1,891,865",577,159,106,"$3,278.80","$11,898.52","$17,847.79","$3,855.74",-0.08%,75.77%
J9055,"Injection, cetuximab, 10 mg",Erbitux,Cetuximab,"$260,919,722","5,069,001","81,181","9,668",$51.47,"$3,214.05","$26,987.97","$257,641,737","4,953,796","78,875","9,460",$52.01,"$3,266.46","$27,234.86","$244,051,386","4,654,784","72,425","8,798",$52.43,"$3,369.71","$27,739.42","$224,096,978","4,160,204","63,256","7,884",$53.87,"$3,542.70","$28,424.27","$203,518,737","3,640,564","54,663","7,039",$55.90,"$3,723.15","$28,913.02",$57.03,3.78%,2.09%
J9060,"Injection, cisplatin, powder or solution, 10 mg",Cisplatin,Cisplatin,"$991,151","495,529","63,005","13,925",$2.00,$15.73,$71.18,"$901,367","438,299","55,644","12,398",$2.06,$16.20,$72.70,"$814,489","402,571","49,856","11,245",$2.02,$16.34,$72.43,"$677,304","382,707","47,518","10,677",$1.77,$14.25,$63.44,"$737,043","353,045","43,130","9,691",$2.09,$17.09,$76.05,$2.12,17.96%,1.08%
J9065,"Injection, cladribine, per 1 mg",Cladribine,Cladribine,"$729,120","25,690","1,808",363,$28.38,$403.27,"$2,008.59","$507,413","20,120","1,318",304,$25.22,$384.99,"$1,669.12","$538,732","23,007","1,491",325,$23.42,$361.32,"$1,657.64","$531,285","25,082","1,483",327,$21.18,$358.25,"$1,624.72","$478,023","22,785","1,368",338,$20.98,$349.43,"$1,414.27",$21.28,-0.95%,-7.28%
J9070,"Cyclophosphamide, 100 mg",Cyclophosphamide (J9070),Cyclophosphamide,"$56,664,340","1,702,716","137,151","35,401",$33.28,$413.15,"$1,600.64","$91,092,926","1,631,315","131,726","33,806",$55.84,$691.53,"$2,694.58","$84,709,160","1,575,667","127,240","32,310",$53.76,$665.74,"$2,621.76","$66,165,208","1,514,982","120,537","31,155",$43.67,$548.92,"$2,123.74","$59,849,627","1,449,954","114,645","29,979",$41.28,$522.04,"$1,996.39",$42.21,-5.49%,5.53%
J9098,"Injection, cytarabine liposome, 10 mg",Depocyt,Cytarabine Liposome/PF,"$1,192,947","2,255",459,175,$529.02,"$2,599.01","$6,816.84","$1,142,194","2,131",412,159,$535.99,"$2,772.32","$7,183.61","$1,184,747","2,126",405,168,$557.27,"$2,925.30","$7,052.07","$1,302,296","2,266",447,178,$574.71,"$2,913.41","$7,316.27","$811,266","1,383",287,108,$586.60,"$2,826.71","$7,511.72",$610.56,2.07%,2.62%
J9100,"Injection, cytarabine, 100 mg",Cytarabine*,Cytarabine*,"$43,266","39,111","2,940",408,$1.11,$14.72,$106.04,"$36,924","28,476","2,108",316,$1.30,$17.52,$116.85,"$33,481","26,213","2,192",279,$1.28,$15.27,$120.00,"$24,099","23,330","2,173",253,$1.03,$11.09,$95.25,"$20,367","25,150","1,895",254,$0.81,$10.75,$80.18,$0.82,-21.61%,-7.50%
J9120,"Injection, dactinomycin, 0.5 mg",COsmegen,Dactinomycin,"$182,216",304,107,35,$599.40,"$1,702.96","$5,206.19","$230,136",343,144,66,$670.95,"$1,598.17","$3,486.92","$398,493",422,141,30,$944.30,"$2,826.19","$13,283.11","$461,395",408,129,35,"$1,130.87","$3,576.70","$13,182.70","$428,282",341,107,26,"$1,255.96","$4,002.64","$16,472.39","$1,331.71",11.06%,20.31%
J9130,"Dacarbazine, 100 mg",Dacarbazine,Dacarbazine,"$145,605","38,892","5,596",817,$3.74,$26.02,$178.22,"$136,689","35,375","5,003",743,$3.86,$27.32,$183.97,"$128,210","32,509","4,444",668,$3.94,$28.85,$191.93,"$111,922","28,448","3,809",602,$3.93,$29.38,$185.92,"$100,121","25,481","3,363",549,$3.93,$29.77,$182.37,$3.99,-0.13%,1.22%
J9150,"Injection, daunorubicin, 10 mg",Daunorubicin HCL,Daunorubicin HCL,"$29,173","1,130",123,44,$25.82,$237.18,$663.03,"$16,719",700,78,33,$23.88,$214.34,$506.62,"$36,885","1,399",151,55,$26.37,$244.27,$670.63,"$33,754",953,104,46,$35.42,$324.56,$733.79,"$24,603",651,78,36,$37.79,$315.43,$683.43,$37.41,6.70%,10.00%
J9155,"Injection, degarelix, 1 mg",Firmagon,Degarelix Acetate,"$12,366,314","4,032,253","36,116","10,512",$3.07,$342.41,"$1,176.40","$14,069,088","4,226,940","37,952","11,064",$3.33,$370.71,"$1,271.61","$15,750,873","4,564,710","40,847","11,874",$3.45,$385.61,"$1,326.50","$17,297,055","4,802,342","42,599","12,546",$3.60,$406.04,"$1,378.69","$17,886,201","4,988,258","44,605","13,060",$3.59,$400.99,"$1,369.54",$3.65,-0.45%,3.98%
J9171,"Injection, docetaxel, 1 mg",Docefrez*,Docetaxel*,"$87,318,073","16,068,252","145,462","34,991",$5.43,$600.28,"$2,495.44","$69,028,080","16,008,585","141,722","34,634",$4.31,$487.07,"$1,993.07","$54,079,090","15,699,258","135,143","32,964",$3.44,$400.16,"$1,640.55","$37,059,752","14,486,104","120,547","29,847",$2.56,$307.43,"$1,241.66","$26,429,181","13,194,420","108,170","27,062",$2.00,$244.33,$976.62,$2.03,-21.70%,-22.08%
J9178,"Injection, epirubicin hcl, 2 mg",Ellence*,Epirubicin HCL*,"$400,619","293,706","5,004","1,703",$1.36,$80.06,$235.24,"$181,029","139,419","2,475",752,$1.30,$73.14,$240.73,"$151,145","102,798","1,889",580,$1.47,$80.01,$260.59,"$110,801","80,174","1,467",445,$1.38,$75.53,$248.99,"$73,145","55,824","1,009",288,$1.31,$72.49,$253.98,$1.33,-5.19%,-1.00%
J9179,"Injection, eribulin mesylate, 0.1 mg",Halaven,Eribulin Mesylate,"$48,784,211","511,114","18,872","2,746",$95.45,"$2,585.00","$17,765.55","$52,205,869","537,855","19,775","2,872",$97.06,"$2,639.99","$18,177.53","$53,297,405","535,768","19,425","2,917",$99.48,"$2,743.75","$18,271.31","$55,320,648","534,543","19,084","2,897",$103.49,"$2,898.80","$19,095.84","$56,342,539","528,663","18,979","2,723",$106.58,"$2,968.68","$20,691.35",$108.79,2.98%,2.80%
J9181,"Injection, etoposide, 10 mg",Etopophos*,Etoposide Phosphate*,"$1,081,253","1,477,190","89,460","9,477",$0.73,$12.09,$114.09,"$927,392","1,352,043","81,162","8,591",$0.69,$11.43,$107.95,"$804,554","1,268,282","76,315","7,966",$0.63,$10.54,$101.00,"$798,621","1,189,842","71,263","7,455",$0.67,$11.21,$107.13,"$620,120","1,094,226","65,746","6,793",$0.57,$9.43,$91.29,$0.57,-15.57%,-6.20%
J9185,"Injection, fludarabine phosphate, 50 mg",Fludarabine Phosphate,Fludarabine Phosphate,"$2,113,540","24,993","18,341","2,469",$84.56,$115.24,$856.03,"$1,166,867","15,540","11,158","1,501",$75.09,$104.58,$777.39,"$727,311","9,622","6,625",977,$75.59,$109.78,$744.43,"$239,149","3,723","3,187",393,$64.24,$75.04,$608.52,"$216,274","2,910","2,542",300,$74.32,$85.08,$720.91,$77.32,15.70%,-3.18%
J9190,"Injection, fluorouracil, 500 mg",Adrucil*,Fluorouracil*,"$3,651,131","1,827,407","284,376","35,378",$2.00,$12.84,$103.20,"$3,470,512","1,745,338","263,531","33,652",$1.99,$13.17,$103.13,"$3,505,097","1,750,301","254,232","32,609",$2.00,$13.79,$107.49,"$3,189,949","1,706,506","237,214","32,261",$1.87,$13.45,$98.88,"$2,651,270","1,578,753","207,531","30,078",$1.68,$12.78,$88.15,$1.70,-10.16%,-4.25%
J9200,"Injection, floxuridine, 500 mg",Floxuridine,Floxuridine,"$390,272","3,540",540,126,$110.25,$722.73,"$3,097.40","$367,016","3,512",488,102,$104.50,$752.08,"$3,598.20","$289,342","3,768",621,116,$76.79,$465.93,"$2,494.33","$118,718","1,313",404,99,$90.42,$293.86,"$1,199.17","$15,844",311,292,82,$51.01,$54.26,$193.22,$70.49,-43.58%,-17.52%
J9201,"Injection, gemcitabine hydrochloride, 200 mg",Gemcitabine HCL*,Gemcitabine HCL*,"$19,006,965","2,369,891","264,671","42,958",$8.02,$71.81,$442.45,"$8,518,970","1,256,701","160,242","22,447",$6.78,$53.16,$379.51,"$8,830,971","1,103,939","140,516","20,016",$8.00,$62.85,$441.20,"$7,698,368","1,033,889","130,410","18,597",$7.45,$59.03,$413.96,"$5,583,860","952,321","119,115","17,109",$5.86,$46.88,$326.37,$5.96,-21.25%,-7.53%
J9202,"Goserelin acetate implant, per 3.6 mg",Zoladex,Goserelin Acetate,"$7,539,439","40,551","16,049","5,355",$185.92,$469.78,"$1,407.93","$7,629,287","36,334","14,690","4,714",$209.98,$519.35,"$1,618.43","$7,993,973","31,699","13,337","4,154",$252.18,$599.38,"$1,924.40","$8,427,100","28,988","12,617","3,861",$290.71,$667.92,"$2,182.62","$8,830,507","26,717","11,899","3,498",$330.52,$742.12,"$2,524.44",$338.70,13.69%,15.47%
J9206,"Injection, irinotecan, 20 mg",Camptosar*,Irinotecan HCL*,"$3,383,309","924,655","72,782","10,872",$3.66,$46.49,$311.19,"$3,851,545","853,570","66,829","9,990",$4.51,$57.63,$385.54,"$3,220,245","827,047","63,345","9,364",$3.89,$50.84,$343.90,"$3,192,252","792,066","60,250","8,983",$4.03,$52.98,$355.37,"$2,613,290","749,811","55,660","8,451",$3.49,$46.95,$309.23,$3.54,-13.52%,-1.21%
J9207,"Injection, ixabepilone, 1 mg",Ixempra,Ixabepilone,"$15,328,837","229,884","4,019",965,$66.68,"$3,814.09","$15,884.81","$12,813,492","187,603","3,240",739,$68.30,"$3,954.78","$17,338.96","$11,760,311","167,899","2,842",707,$70.04,"$4,138.04","$16,634.10","$9,513,855","128,682","2,130",545,$73.93,"$4,466.60","$17,456.62","$8,785,168","119,318","1,943",482,$73.63,"$4,521.44","$18,226.49",$74.97,-0.41%,2.51%
J9208,"Injection, ifosfamide, 1 gram",Ifex*,Ifosfamide*,"$594,299","20,001","5,333",746,$29.71,$111.44,$796.65,"$695,707","21,308","5,117",737,$32.65,$135.96,$943.97,"$512,514","16,501","3,975",578,$31.06,$128.93,$886.70,"$492,538","16,667","4,328",592,$29.55,$113.80,$831.99,"$360,241","40,325","3,284",506,$8.93,$109.70,$711.94,$27.63,-69.77%,-25.95%
J9209,"Injection, mesna, 200 mg",Mesna*,Mesna*,"$158,045","52,233","4,717",637,$3.03,$33.51,$248.11,"$131,635","46,764","4,151",573,$2.81,$31.71,$229.73,"$109,728","37,883","3,153",483,$2.90,$34.80,$227.18,"$128,611","40,072","3,383",433,$3.21,$38.02,$297.02,"$56,130","25,977","2,261",336,$2.16,$24.83,$167.05,$2.09,-32.68%,-8.07%
J9211,"Injection, idarubicin hydrochloride, 5 mg",Idamycin PFs*,Idarubicin HCL*,"$44,178",664,142,57,$66.53,$311.12,$775.06,"$27,634",691,155,61,$39.99,$178.29,$453.02,"$16,128",425,92,46,$37.95,$175.31,$350.61,"$15,400",464,110,60,$33.19,$140.00,$256.66,"$14,515",379,93,31,$38.30,$156.07,$468.21,$38.67,15.39%,-12.90%
J9214,"Injection, interferon, alfa-2b, recombinant, 1 million units",Intron A,"Interferon Alfa-2b,recomb.","$13,690,979","731,800","20,906","2,356",$18.71,$654.88,"$5,811.11","$12,851,545","632,167","18,147","2,110",$20.33,$708.19,"$6,090.78","$11,194,673","506,170","13,331","1,780",$22.12,$839.75,"$6,289.14","$12,157,160","493,698","12,559","1,705",$24.62,$968.00,"$7,130.30","$10,912,989","396,203","10,212","1,482",$27.54,"$1,068.64","$7,363.69",$28.85,11.85%,10.15%
J9217,"Leuprolide acetate (for depot suspension), 7.5 mg",Eligard*,Leuprolide Acetate*,"$251,023,119","1,223,357","335,685","147,589",$205.19,$747.79,"$1,700.83","$253,803,024","1,176,729","322,015","142,267",$215.69,$788.17,"$1,783.99","$276,624,171","1,213,390","332,823","146,028",$227.98,$831.14,"$1,894.32","$288,874,325","1,266,943","345,044","151,780",$228.01,$837.21,"$1,903.24","$267,302,327","1,282,638","348,865","153,539",$208.40,$766.21,"$1,740.94",$212.20,-8.60%,0.39%
J9225,"Histrelin implant (vantas), 50 mg",Vantas,Histrelin Acetate,"$8,118,224","2,777","2,776","2,768","$2,923.38","$2,924.43","$2,932.88","$5,857,347","2,009","2,009","2,008","$2,915.55","$2,915.55","$2,917.01","$4,430,226","1,509","1,509","1,507","$2,935.87","$2,935.87","$2,939.76","$3,662,168","1,215","1,215","1,211","$3,014.13","$3,014.13","$3,024.09","$3,002,560",960,960,956,"$3,127.67","$3,127.67","$3,140.75","$3,192.08",3.77%,1.70%
J9228,"Injection, ipilimumab, 1 mg",Yervoy,Ipilimumab,"$216,247,826","1,727,886","6,687","2,345",$125.15,"$32,338.54","$92,216.56","$264,357,869","2,052,292","8,008","2,876",$128.81,"$33,011.72","$91,918.59","$216,556,391","1,624,617","6,323","2,338",$133.30,"$34,248.99","$92,624.63","$236,688,068","1,747,489","6,132","2,234",$135.44,"$38,598.84","$105,948.11","$261,446,036","1,897,590","6,995","2,656",$137.78,"$37,376.13","$98,436.01",$144.68,1.72%,2.43%
J9230,"Injection, mechlorethamine hydrochloride, (nitrogen mustard), 10 mg",Mustargen,Mechlorethamine HCL,"$28,300",252,198,104,$112.30,$142.93,$272.12,"$27,795",235,163,96,$118.28,$170.52,$289.53,"$18,891",137,109,65,$137.89,$173.31,$290.63,"$18,423",119,81,60,$154.82,$227.45,$307.06,"$7,831",76,63,56,$103.04,$124.31,$139.84,$279.29,-33.44%,-2.13%
J9245,"Injection, melphalan hydrochloride, 50 mg",Alkeran (J9245)*,Melphalan HCL*,"$2,767,077","2,164",697,367,"$1,278.69","$3,969.98","$7,539.72","$3,361,296","2,801",795,416,"$1,200.03","$4,228.05","$8,080.04","$3,099,453","2,436",579,369,"$1,272.35","$5,353.11","$8,399.60","$4,555,858","2,616",520,398,"$1,741.54","$8,761.27","$11,446.88","$4,939,358","3,042",566,460,"$1,623.72","$8,726.78","$10,737.74","$1,664.87",-6.77%,6.15%
J9250,"Methotrexate sodium, 5 mg",Methotrexate (J9250)*,Methotrexate Sodium*,"$62,305","280,482","74,559","6,223",$0.22,$0.84,$10.01,"$62,270","272,122","69,349","6,191",$0.23,$0.90,$10.06,"$61,107","263,689","66,727","6,218",$0.23,$0.92,$9.83,"$56,501","244,580","63,249","5,885",$0.23,$0.89,$9.60,"$55,850","219,459","55,821","5,399",$0.25,$1.00,$10.34,$0.26,10.16%,3.46%
J9260,"Methotrexate sodium, 50 mg",Methotrexate (J9260)*,Methotrexate Sodium*,"$132,858","59,502","36,510","3,734",$2.23,$3.64,$35.58,"$114,257","50,011","33,800","3,619",$2.28,$3.38,$31.57,"$103,095","44,880","32,366","3,279",$2.30,$3.19,$31.44,"$102,773","44,471","32,219","3,467",$2.31,$3.19,$29.64,"$109,983","43,351","29,254","3,353",$2.54,$3.76,$32.80,$2.61,9.78%,3.24%
J9263,"Injection, oxaliplatin, 0.5 mg",Eloxatin*,Oxaliplatin*,"$84,755,382","52,165,819","150,343","29,956",$1.62,$563.75,"$2,829.33","$24,969,586","51,175,308","147,436","29,733",$0.49,$169.36,$839.79,"$27,462,223","52,322,517","150,257","30,408",$0.52,$182.77,$903.12,"$18,637,359","52,337,089","149,865","30,611",$0.36,$124.36,$608.85,"$12,393,679","52,571,208","150,885","31,036",$0.24,$82.14,$399.33,$0.24,-33.80%,-38.28%
J9264,"Injection, paclitaxel protein-bound particles, 1 mg",Abraxane,Paclitaxel Protein-Bound,"$212,799,639","22,638,106","96,872","14,066",$9.40,"$2,196.71","$15,128.65","$276,101,164","29,192,109","124,033","17,724",$9.46,"$2,226.03","$15,577.81","$276,642,226","28,910,807","122,530","17,819",$9.57,"$2,257.75","$15,525.13","$274,037,018","27,634,023","115,894","17,365",$9.92,"$2,364.55","$15,781.00","$267,936,271","25,797,190","106,878","16,215",$10.39,"$2,506.94","$16,523.98",$10.58,4.74%,2.53%
J9266,"Injection, pegaspargase, per single dose vial",Oncaspar,Pegaspargase,"$657,643",112,78,45,"$5,871.82","$8,431.32","$14,614.30","$1,148,802",193,143,60,"$5,952.34","$8,033.58","$19,146.70","$860,529",141,107,62,"$6,103.05","$8,042.33","$13,879.51","$3,007,040",291,192,81,"$10,333.47","$15,661.67","$37,123.95","$2,281,300",236,164,74,"$9,666.53","$13,910.37","$30,828.38","$13,912.05",-6.45%,13.27%
J9267,"Injection, paclitaxel, 1 mg",Paclitaxel,Paclitaxel, , , , , , , , , , , , , , ,"$4,495,894","26,491,067","180,975","27,938",$0.17,$24.84,$160.92,"$4,051,385","25,147,645","169,901","26,584",$0.16,$23.85,$152.40,"$3,309,441","22,467,067","152,577","23,738",$0.15,$21.69,$139.42,$0.15,-8.57%,-6.84%
J9268,"Injection, pentostatin, 10 mg",Nipent,Pentostatin,"$1,263,610",932,877,240,"$1,355.80","$1,440.83","$5,265.04","$806,609",566,500,139,"$1,425.10","$1,613.22","$5,802.94","$872,369",595,555,117,"$1,466.17","$1,571.84","$7,456.15","$938,571",559,500,108,"$1,679.02","$1,877.14","$8,690.47","$843,166",438,408,85,"$1,925.04","$2,066.58","$9,919.60","$1,955.78",14.65%,9.16%
J9271,"Injection, pembrolizumab, 1 mg",Keytruda,Pembrolizumab, , , , , , , , , , , , , , , , , , , , , ,"$326,441,184","7,319,892","36,743","7,332",$44.60,"$8,884.45","$44,522.80","$1,033,716,693","22,526,012","109,885","21,816",$45.89,"$9,407.26","$47,383.42",$47.25,2.90%,2.90%
J9280,"Injection, mitomycin, 5 mg",Mitomycin,Mitomycin,"$5,731,094","245,765","39,259","21,475",$23.32,$145.98,$266.87,"$5,849,392","264,993","40,900","21,580",$22.07,$143.02,$271.06,"$15,745,213","271,126","39,559","20,878",$58.07,$398.02,$754.15,"$19,835,511","205,961","31,341","18,925",$96.31,$632.89,"$1,048.11","$11,494,670","104,469","15,953","6,357",$110.03,$720.53,"$1,808.19",$118.90,14.25%,47.38%
J9293,"Injection, mitoxantrone hydrochloride, per 5 mg",Mitoxantrone HCL,Mitoxantrone HCL,"$383,511","10,493","2,342",790,$36.55,$163.75,$485.46,"$287,293","8,680","1,926",635,$33.10,$149.17,$452.43,"$269,024","8,407","1,699",578,$32.00,$158.34,$465.44,"$230,153","7,045","1,468",510,$32.67,$156.78,$451.28,"$185,018","5,072","1,034",351,$36.48,$178.93,$527.12,$37.31,11.66%,-0.05%
J9299,"Injection, nivolumab, 1 mg",Opdivo,Nivolumab, , , , , , , , , , , , , , , , , , , , , ,"$1,219,517,891","48,517,116","190,578","27,665",$25.14,"$6,399.05","$44,081.62","$1,470,525,369","57,093,050","221,210","29,076",$25.76,"$6,647.64","$50,575.23",$26.43,2.47%,2.47%
J9301,"Injection, obinutuzumab, 10 mg",Gazyva,Obinutuzumab, , , , , , , , , , , , , , ,"$42,850,368","804,619","8,297","1,725",$53.26,"$5,164.56","$24,840.79","$60,760,004","1,111,505","11,496","2,369",$54.66,"$5,285.32","$25,647.95","$81,218,385","1,443,626","14,699","2,898",$56.26,"$5,525.44","$28,025.67",$58.13,2.92%,2.78%
J9302,"Injection, ofatumumab, 10 mg",Arzerra,Ofatumumab,"$34,258,969","754,755","3,872",680,$45.39,"$8,847.87","$50,380.84","$23,116,513","496,911","2,712",562,$46.52,"$8,523.79","$41,132.58","$14,541,111","304,334","1,872",356,$47.78,"$7,767.69","$40,845.82","$15,984,925","317,811","1,997",386,$50.30,"$8,004.47","$41,411.72","$12,365,431","233,165","1,537",320,$53.03,"$8,045.17","$38,641.97",$54.10,5.44%,3.97%
J9303,"Injection, panitumumab, 10 mg",Vectibix,Panitumumab,"$52,421,414","588,266","11,580","1,965",$89.11,"$4,526.89","$26,677.56","$65,739,633","713,701","13,802","2,435",$92.11,"$4,763.05","$26,997.80","$78,963,600","822,768","15,489","2,615",$95.97,"$5,098.04","$30,196.41","$85,543,949","831,711","16,068","2,618",$102.85,"$5,323.87","$32,675.31","$88,775,240","871,686","16,417","2,641",$101.84,"$5,407.52","$33,614.25",$108.71,-0.98%,3.39%
J9305,"Injection, pemetrexed, 10 mg",Alimta,Pemetrexed DIsodium,"$547,921,481","9,453,601","100,284","22,951",$57.96,"$5,463.70","$23,873.53","$558,860,184","9,457,326","100,702","22,981",$59.09,"$5,549.64","$24,318.36","$547,556,594","9,133,154","97,207","21,940",$59.95,"$5,632.89","$24,957.00","$511,508,019","8,360,514","89,105","20,305",$61.18,"$5,740.51","$25,191.23","$474,954,415","7,506,356","80,242","18,585",$63.27,"$5,919.03","$25,555.79",$64.39,3.42%,2.22%
J9306,"Injection, pertuzumab, 1 mg",Perjeta,Pertuzumab, , , , , , , ,"$110,161,706","10,990,036","22,622","4,145",$10.02,"$4,869.67","$26,577.01","$166,244,498","16,623,403","34,509","5,855",$10.00,"$4,817.42","$28,393.59","$200,561,294","19,378,870","40,582","6,666",$10.35,"$4,942.12","$30,087.20","$228,165,414","21,126,501","44,211","6,867",$10.80,"$5,160.83","$33,226.36",$11.01,4.35%,2.52%
