State/Muncipality,Primary Substance,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Shutesbury,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,0.875
Shutesbury,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Somerset,Alcohol,0.376,0.439,0.371,0.356,0.295,0.291,0.298,0.31,0.259,0.243
Somerset,Marijuana,0.067,0.064,0.102,0.101,0.025,0.036,not available,0.029,not available,0.04
Somerset,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Somerset,Opioids,0.443,0.418,0.395,0.452,0.627,0.622,0.623,0.602,0.655,0.665
Somerset,Other,0.086,0.059,0.132,0.092,0.036,0.033,0.053,0.058,0.06,0.051
Somerville,Alcohol,0.337,0.357,0.388,0.335,0.286,0.345,0.286,0.29,0.303,0.337
Somerville,Marijuana,0.035,0.043,0.042,0.062,0.068,0.036,0.03,0.025,0.033,0.02
Somerville,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Somerville,Opioids,0.536,0.523,0.497,0.513,0.558,0.553,0.598,0.636,0.611,0.595
Somerville,Other,0.089,0.076,0.071,0.09,0.086,0.065,0.084,0.047,0.047,0.048
Southampton,Alcohol,0.536,0.379,0.592,0.478,0.659,0.536,0.667,0.689,0.615,0.371
Southampton,Marijuana,not available,not available,not available,not available,not available,0.107,not available,not available,not available,not available
Southampton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Southampton,Opioids,0.304,0.409,0.286,0.328,0.136,0.232,0.167,0.178,0.282,0.457
Southampton,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Southborough,Alcohol,0.73,0.709,0.682,0.711,0.786,0.8,0.532,0.636,0.491,0.478
Southborough,Marijuana,not available,0.145,not available,not available,not available,not available,0.226,not available,not available,not available
Southborough,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Southborough,Opioids,0.162,not available,not available,not available,not available,not available,0.129,0.318,0.364,0.373
Southborough,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Southbridge,Alcohol,0.365,0.397,0.432,0.308,0.367,0.307,0.327,0.354,0.261,0.279
Southbridge,Marijuana,0.065,0.069,0.109,0.141,0.124,0.091,0.113,0.11,0.085,0.086
Southbridge,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Southbridge,Opioids,0.516,0.478,0.346,0.444,0.422,0.514,0.484,0.464,0.597,0.588
Southbridge,Other,0.042,0.044,0.103,0.096,0.084,0.088,0.061,0.072,0.042,0.036
South Hadley,Alcohol,0.523,0.413,0.387,0.447,0.421,0.436,0.397,0.394,0.323,0.351
South Hadley,Marijuana,0.056,0.06,0.071,0.048,0.053,0.052,0.055,not available,0.074,0.035
South Hadley,None,not available,not available,0.028,not available,not available,not available,not available,not available,not available,not available
South Hadley,Opioids,0.37,0.418,0.448,0.361,0.439,0.413,0.493,0.503,0.534,0.573
South Hadley,Other,0.051,0.085,0.057,0.115,0.07,0.081,0.055,0.061,0.048,not available
Southwick,Alcohol,0.605,0.566,0.655,0.513,0.592,0.58,0.462,0.472,0.448,0.328
Southwick,Marijuana,not available,not available,not available,0.105,not available,not available,0.1,not available,not available,not available
Southwick,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Southwick,Opioids,0.197,0.277,0.241,0.223,0.25,0.31,0.337,0.396,0.478,0.535
Southwick,Other,0.132,not available,not available,0.118,not available,not available,0.088,not available,not available,not available
Spencer,Alcohol,0.426,0.494,0.406,0.547,0.463,0.424,0.332,0.394,0.373,0.324
Spencer,Marijuana,0.191,0.191,0.273,0.193,0.101,0.084,0.148,0.131,0.114,0.092
Spencer,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Spencer,Opioids,0.271,0.228,0.257,0.161,0.351,0.443,0.471,0.412,0.462,0.557
Spencer,Other,0.101,0.056,0.048,0.062,0.053,0.03,0.027,0.044,not available,not available
Springfield,Alcohol,0.368,0.377,0.401,0.379,0.393,0.409,0.404,0.381,0.329,0.311
Springfield,Marijuana,0.041,0.05,0.057,0.082,0.083,0.071,0.078,0.066,0.072,0.07
Springfield,None,not available,0.005,0.006,0.004,0.002,not available,not available,not available,not available,not available
Springfield,Opioids,0.459,0.434,0.4,0.414,0.401,0.402,0.402,0.446,0.515,0.539
Springfield,Other,0.133,0.134,0.136,0.122,0.122,0.117,0.115,0.107,0.083,0.079
Sterling,Alcohol,0.574,0.657,0.469,0.7,0.615,0.587,0.352,0.35,0.386,0.633
Sterling,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Sterling,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Sterling,Opioids,0.383,0.257,0.312,0.2,not available,0.304,0.5,0.6,0.455,not available
Sterling,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Stockbridge,Alcohol,0.462,0.621,0.565,0.462,0.478,0.857,0.636,0.474,0.524,0.7
Stockbridge,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Stockbridge,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Stockbridge,Opioids,not available,not available,not available,not available,0.304,not available,0.182,not available,0.286,not available
Stockbridge,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Stoneham,Alcohol,0.321,0.281,0.331,0.336,0.339,0.304,0.23,0.254,0.307,0.231
Stoneham,Marijuana,0.148,0.143,0.072,0.052,0.04,0.034,0.044,0.031,0.035,0.061
Stoneham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Stoneham,Opioids,0.464,0.494,0.539,0.559,0.582,0.615,0.689,0.676,0.63,0.688
Stoneham,Other,0.067,0.061,0.042,0.044,0.022,0.037,0.022,not available,0.024,not available
Stoughton,Alcohol,0.545,0.475,0.395,0.434,0.413,0.371,0.365,0.365,0.38,0.342
Stoughton,Marijuana,0.043,0.031,0.049,0.053,0.018,0.039,0.028,0.042,0.026,0.03
Stoughton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Stoughton,Opioids,0.333,0.385,0.467,0.434,0.502,0.54,0.544,0.54,0.514,0.573
Stoughton,Other,0.064,0.11,0.086,0.067,0.067,0.042,0.063,0.054,0.07,0.055
Stow,Alcohol,0.607,0.8,0.905,0.55,0.75,not available,0.636,0.682,0.529,0.273
Stow,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Stow,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Stow,Opioids,0.357,not available,not available,not available,not available,not available,not available,not available,not available,0.455
Stow,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Sturbridge,Alcohol,0.5,0.528,0.594,0.607,0.645,0.446,0.455,0.402,0.346,0.358
Sturbridge,Marijuana,0.109,not available,0.083,0.155,0.132,0.162,0.143,0.122,0.148,0.066
Sturbridge,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Sturbridge,Opioids,0.281,0.25,0.156,0.179,0.092,0.325,0.312,0.427,0.42,0.481
Sturbridge,Other,not available,not available,0.125,not available,not available,not available,not available,not available,not available,0.057
Sudbury,Alcohol,0.607,0.681,0.5,0.479,0.5,0.63,0.517,0.579,0.6,0.442
Sudbury,Marijuana,0.131,0.234,0.321,0.25,0.107,not available,0.155,not available,not available,not available
Sudbury,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Sudbury,Opioids,0.131,not available,not available,0.146,0.286,0.174,0.259,0.315,0.2,0.404
Sudbury,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Sunderland,Alcohol,0.75,0.594,0.744,0.641,0.743,0.8,0.706,0.786,0.706,0.5
Sunderland,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Sunderland,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Sunderland,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Sunderland,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Sutton,Alcohol,0.745,0.617,0.723,0.49,0.5,0.327,0.471,0.245,0.288,0.472
Sutton,Marijuana,not available,not available,not available,0.122,not available,not available,not available,not available,not available,not available
Sutton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Sutton,Opioids,not available,0.234,0.17,0.224,0.357,0.6,0.5,0.653,0.654,0.486
Sutton,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Swampscott,Alcohol,0.421,0.453,0.513,0.465,0.397,0.527,0.348,0.392,0.438,0.272
Swampscott,Marijuana,0.103,not available,0.038,0.056,0.064,0.068,0.059,0.14,not available,0.056
Swampscott,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Swampscott,Opioids,0.404,0.406,0.397,0.388,0.423,0.371,0.481,0.434,0.477,0.608
Swampscott,Other,0.048,0.08,0.038,0.092,0.103,not available,0.111,not available,not available,not available
Swansea,Alcohol,0.515,0.342,0.402,0.353,0.306,0.236,0.294,0.259,0.299,0.167
Swansea,Marijuana,0.081,0.107,0.091,0.059,0.061,0.051,0.037,not available,0.052,0.038
Swansea,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Swansea,Opioids,0.323,0.409,0.384,0.436,0.545,0.644,0.573,0.66,0.593,0.762
Swansea,Other,0.074,0.128,0.104,0.153,0.089,0.051,0.096,0.071,0.031,not available
Taunton,Alcohol,0.439,0.401,0.368,0.37,0.335,0.299,0.344,0.294,0.274,0.274
Taunton,Marijuana,0.062,0.06,0.077,0.057,0.064,0.059,0.053,0.037,0.039,0.026
Taunton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Taunton,Opioids,0.403,0.434,0.447,0.477,0.528,0.575,0.543,0.607,0.631,0.648
Taunton,Other,0.096,0.104,0.107,0.093,0.07,0.066,0.058,0.061,0.053,0.052
Templeton,Alcohol,0.434,0.561,0.542,0.617,0.571,0.429,0.384,0.341,0.476,0.392
Templeton,Marijuana,not available,not available,not available,0.167,0.122,not available,not available,not available,not available,not available
Templeton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Templeton,Opioids,0.434,0.317,0.292,0.133,0.204,0.443,0.562,0.518,0.477,0.57
Templeton,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Tewksbury,Alcohol,0.338,0.361,0.304,0.352,0.338,0.41,0.327,0.289,0.321,0.345
Tewksbury,Marijuana,0.031,0.044,0.025,0.041,0.04,0.039,0.03,0.035,0.028,0.03
Tewksbury,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Tewksbury,Opioids,0.577,0.536,0.575,0.556,0.555,0.493,0.601,0.645,0.619,0.601
Tewksbury,Other,0.04,0.053,0.085,0.041,0.067,0.057,0.03,0.019,0.032,0.015
Tisbury,Alcohol,0.734,0.8,0.816,0.672,0.65,0.591,0.61,0.574,0.806,0.757
Tisbury,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,0.058
Tisbury,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Tisbury,Opioids,0.141,not available,not available,0.134,0.27,0.344,0.28,0.262,0.145,0.126
Tisbury,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Tolland,Alcohol,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Tolland,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Tolland,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Tolland,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Tolland,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Topsfield,Alcohol,0.367,0.415,0.382,0.412,0.469,0.419,0.471,0.486,0.636,0.5
Topsfield,Marijuana,not available,not available,not available,not available,not available,not available,0.235,not available,not available,not available
Topsfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Topsfield,Opioids,0.47,0.341,0.412,0.392,0.438,0.517,0.265,0.2,0,0.25
Topsfield,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Townsend,Alcohol,0.393,0.448,0.391,0.705,0.735,0.464,0.333,0.414,0.314,0.239
Townsend,Marijuana,0.115,0.104,0.087,not available,not available,not available,not available,not available,not available,0.068
Townsend,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Townsend,Opioids,0.426,0.343,0.377,not available,not available,0.507,0.556,0.46,0.558,0.625
Townsend,Other,not available,not available,not available,0.098,not available,not available,not available,0.069,not available,not available
Truro,Alcohol,0.536,0.686,0.435,0.72,0.5,0.692,0.543,0.545,0.618,0.6
Truro,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Truro,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Truro,Opioids,not available,0.286,not available,not available,not available,not available,0.2,0.409,0.206,0.2
Truro,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Tyngsborough,Alcohol,0.469,0.438,0.5,0.444,0.308,0.297,0.346,0.439,0.347,0.398
Tyngsborough,Marijuana,not available,0.082,not available,0.099,not available,not available,0.072,0.065,not available,not available
Tyngsborough,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Tyngsborough,Opioids,0.333,0.342,0.4,0.383,0.629,0.63,0.549,0.449,0.526,0.5
Tyngsborough,Other,not available,not available,not available,not available,not available,0.041,not available,not available,0.063,not available
Tyringham,Alcohol,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Tyringham,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Tyringham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Tyringham,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Tyringham,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Upton,Alcohol,0.704,0.429,0.595,0.486,0.792,0.844,0.475,0.34,0.647,0.292
Upton,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Upton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Upton,Opioids,not available,0.429,0.262,0.162,not available,not available,0.35,0.511,0.176,0.542
Upton,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Uxbridge,Alcohol,0.466,0.47,0.552,0.533,0.571,0.374,0.509,0.282,0.353,0.226
Uxbridge,Marijuana,0.102,not available,not available,0.066,not available,0.065,not available,0.051,0.038,not available
Uxbridge,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Uxbridge,Opioids,0.339,0.373,0.366,0.352,0.33,0.496,0.431,0.624,0.576,0.71
Uxbridge,Other,0.085,not available,not available,not available,not available,not available,not available,not available,not available,0.032
Wakefield,Alcohol,0.434,0.297,0.376,0.319,0.366,0.319,0.372,0.381,0.37,0.266
Wakefield,Marijuana,0.041,0.038,0.054,0.032,0.036,0.034,0.026,0.047,not available,0.029
Wakefield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wakefield,Opioids,0.455,0.635,0.527,0.591,0.529,0.585,0.557,0.558,0.576,0.683
Wakefield,Other,0.07,not available,0.032,0.058,0.039,0.061,0.03,not available,0.025,not available
Wales,Alcohol,0.688,0.667,0.571,0.682,0.643,0.5,0.529,not available,0.5,0.353
Wales,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wales,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wales,Opioids,not available,not available,not available,not available,not available,0.3,not available,not available,not available,0.471
Wales,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Walpole,Alcohol,0.619,0.455,0.539,0.529,0.613,0.539,0.59,0.558,0.491,0.466
Walpole,Marijuana,not available,0.083,0.039,0.072,not available,0.048,not available,not available,not available,0.047
Walpole,None,not available,0.076,not available,not available,not available,not available,not available,not available,not available,not available
Walpole,Opioids,0.266,0.297,0.296,0.334,0.329,0.389,0.326,0.413,0.434,0.459
Walpole,Other,0.086,not available,0.092,0.046,not available,not available,0.038,not available,not available,not available
Waltham,Alcohol,0.551,0.519,0.559,0.594,0.458,0.557,0.577,0.469,0.486,0.459
Waltham,Marijuana,0.043,0.033,0.036,0.048,0.042,0.035,0.031,0.037,0.04,0.019
Waltham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Waltham,Opioids,0.314,0.329,0.323,0.282,0.41,0.373,0.343,0.423,0.431,0.502
Waltham,Other,0.09,0.117,0.075,0.075,0.082,0.03,0.044,0.071,0.029,0.014
Ware,Alcohol,0.644,0.543,0.597,0.579,0.492,0.57,0.521,0.436,0.262,0.326
Ware,Marijuana,not available,0.105,not available,0.121,0.059,not available,0.066,0.051,0.04,not available
Ware,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Ware,Opioids,0.256,0.286,0.273,0.243,0.348,0.35,0.355,0.47,0.684,0.601
Ware,Other,not available,not available,not available,not available,0.076,not available,not available,not available,not available,0.036
Wareham,Alcohol,0.564,0.499,0.532,0.526,0.499,0.452,0.468,0.4,0.388,0.355
Wareham,Marijuana,0.05,0.05,0.046,0.067,0.033,0.048,0.043,0.014,0.026,0.036
Wareham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wareham,Opioids,0.31,0.364,0.308,0.323,0.373,0.434,0.439,0.537,0.532,0.559
Wareham,Other,0.076,0.069,0.104,0.085,0.095,0.066,0.05,0.049,0.052,0.047
Warren,Alcohol,0.61,0.5,0.514,0.538,0.507,0.325,0.525,0.417,0.424,0.418
Warren,Marijuana,not available,0.18,0.236,0.154,0.147,0.138,not available,not available,0.136,not available
Warren,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Warren,Opioids,0.169,0.26,0.111,0.215,0.32,0.5,0.45,0.458,0.348,0.468
Warren,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Warwick,Alcohol,0.636,not available,not available,not available,1,not available,not available,not available,not available,not available
Warwick,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Warwick,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Warwick,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Warwick,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Washington,Alcohol,not available,not available,not available,not available,not available,0.75,not available,not available,not available,0.533
Washington,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Washington,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Washington,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,0.467
Washington,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Watertown,Alcohol,0.436,0.482,0.528,0.473,0.383,0.46,0.561,0.437,0.414,0.448
Watertown,Marijuana,0.053,0.066,0.041,0.03,0.043,0.046,0.036,0.028,0.035,not available
Watertown,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Watertown,Opioids,0.457,0.319,0.353,0.392,0.496,0.467,0.343,0.5,0.529,0.495
Watertown,Other,not available,0.126,0.06,0.104,0.071,not available,0.043,0.028,not available,0.029
Wayland,Alcohol,0.75,0.705,0.612,0.588,0.75,0.721,0.61,0.763,0.545,0.578
Wayland,Marijuana,0.141,0.192,0.194,0.275,not available,not available,0.146,0.102,0.182,not available
Wayland,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wayland,Opioids,not available,not available,0.134,not available,not available,0.14,not available,0.102,0.182,0.267
Wayland,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Webster,Alcohol,0.517,0.551,0.546,0.422,0.519,0.424,0.437,0.339,0.249,0.29
Webster,Marijuana,0.123,0.102,0.127,0.169,0.14,0.058,0.084,0.073,0.076,0.096
Webster,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Webster,Opioids,0.274,0.242,0.229,0.256,0.25,0.427,0.411,0.526,0.592,0.587
Webster,Other,0.051,0.066,0.092,0.133,0.084,0.078,0.057,0.047,0.081,0.021
Wellesley,Alcohol,0.711,0.725,0.75,0.804,0.569,0.75,0.566,0.78,0.595,0.581
Wellesley,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,0.226
Wellesley,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wellesley,Opioids,not available,not available,not available,0.107,0.235,0.125,0.302,not available,0.262,not available
Wellesley,Other,0.133,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wellfleet,Alcohol,0.541,0.556,0.486,0.586,0.604,0.524,0.569,0.422,0.6,0.571
Wellfleet,Marijuana,not available,not available,not available,not available,not available,0.111,not available,not available,not available,not available
Wellfleet,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wellfleet,Opioids,0.189,0.222,0.351,0.207,0.229,0.349,0.323,0.489,0.277,0.339
Wellfleet,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wendell,Alcohol,not available,not available,0.778,not available,0.625,0.75,not available,not available,not available,not available
Wendell,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wendell,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wendell,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wendell,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wenham,Alcohol,0.727,0.7,0.625,0.867,not available,not available,0.577,0.667,0.657,0.621
Wenham,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wenham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wenham,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,0.286,not available
Wenham,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Westborough,Alcohol,0.294,0.337,0.461,0.507,0.538,0.537,0.545,0.39,0.434,0.405
Westborough,Marijuana,not available,not available,0.053,0.038,not available,not available,not available,not available,not available,0.048
Westborough,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Westborough,Opioids,0.628,0.549,0.349,0.347,0.384,0.358,0.391,0.551,0.505,0.484
Westborough,Other,0.076,0.046,0.099,0.07,not available,0.063,not available,not available,not available,not available
West Boylston,Alcohol,0.545,0.606,0.487,0.452,0.492,0.458,0.318,0.31,0.299,0.351
West Boylston,Marijuana,not available,not available,not available,not available,not available,0.103,0.182,not available,not available,not available
West Boylston,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
West Boylston,Opioids,0.436,0.333,0.333,0.274,0.349,0.373,0.363,0.634,0.609,0.568
West Boylston,Other,not available,not available,not available,0.161,0.095,not available,0.08,not available,not available,not available
West Bridgewater,Alcohol,0.455,0.54,0.402,0.62,0.565,0.37,0.353,0.439,0.346,0.433
West Bridgewater,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
West Bridgewater,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
West Bridgewater,Opioids,0.273,0.397,0.459,0.24,0.377,0.534,0.577,0.52,0.565,0.552
West Bridgewater,Other,0.159,not available,not available,not available,not available,not available,not available,not available,not available,not available
West Brookfield,Alcohol,0.636,0.667,0.654,0.59,0.867,0.552,0.408,0.526,0.179,0.406
West Brookfield,Marijuana,not available,not available,not available,0.205,not available,not available,not available,not available,not available,not available
West Brookfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
West Brookfield,Opioids,not available,not available,0.231,not available,not available,0.31,0.47,0.289,0.59,0.375
West Brookfield,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Westfield,Alcohol,0.517,0.516,0.556,0.541,0.47,0.439,0.45,0.448,0.428,0.382
Westfield,Marijuana,0.037,0.063,0.044,0.06,0.054,0.065,0.038,0.059,0.05,0.049
Westfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Westfield,Opioids,0.369,0.316,0.282,0.282,0.376,0.408,0.42,0.437,0.472,0.521
Westfield,Other,0.077,0.101,0.117,0.113,0.1,0.089,0.09,0.056,0.051,0.049
Westford,Alcohol,0.595,0.54,0.564,0.63,0.544,0.387,0.463,0.603,0.381,0.495
Westford,Marijuana,0.095,0.206,0.106,not available,not available,0.065,not available,0.077,0.072,not available
Westford,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Westford,Opioids,0.262,0.175,0.234,0.205,0.338,0.494,0.488,0.244,0.536,0.432
Westford,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Westhampton,Alcohol,0.588,0.588,0.684,0.812,0.722,0.833,not available,1,not available,not available
Westhampton,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Westhampton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Westhampton,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,0.375
Westhampton,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Westminister,Alcohol,0.524,0.614,0.488,0.535,0.628,0.692,0.595,0.489,0.489,0.375
Westminister,Marijuana,not available,not available,not available,0.163,not available,not available,not available,not available,not available,not available
Westminister,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Westminister,Opioids,0.333,0.205,0.349,0.256,0.233,0.289,0.214,0.425,0.405,0.562
Westminister,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
West Newbury,Alcohol,0.364,0.842,0.593,0.625,0.783,0.353,0.76,0.6,0.562,0.647
West Newbury,Marijuana,not available,not available,not available,not available,not available,not available,0.24,not available,not available,not available
West Newbury,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
West Newbury,Opioids,0.364,not available,0.296,0.25,not available,not available,not available,not available,not available,not available
West Newbury,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Weston,Alcohol,0.6,0.765,0.882,0.556,0.688,0.727,0.786,0.824,0.455,0.68
Weston,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Weston,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Weston,Opioids,0.3,not available,not available,not available,not available,not available,not available,not available,0.318,not available
Weston,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Westport,Alcohol,0.429,0.433,0.47,0.467,0.46,0.335,0.387,0.385,0.306,0.246
Westport,Marijuana,0.077,0.071,0.089,0.071,0.053,not available,not available,0.036,0.044,0.034
Westport,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Westport,Opioids,0.412,0.425,0.31,0.355,0.438,0.584,0.502,0.525,0.601,0.678
Westport,Other,0.071,0.055,0.101,0.077,0.048,0.052,0.085,0.045,0.033,0.03
West Springfield,Alcohol,0.445,0.408,0.443,0.471,0.419,0.414,0.424,0.367,0.291,0.293
West Springfield,Marijuana,0.028,0.06,0.03,0.034,0.04,0.046,0.058,0.056,0.043,0.033
West Springfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
West Springfield,Opioids,0.426,0.401,0.442,0.37,0.466,0.453,0.458,0.484,0.601,0.619
West Springfield,Other,0.099,0.125,0.084,0.11,0.074,0.085,0.06,0.093,0.062,0.056
West Stockbridge,Alcohol,0.769,0.636,0.571,0.6,0.906,0.727,0.615,not available,0.5,0.737
West Stockbridge,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,0.214,not available
West Stockbridge,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
West Stockbridge,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,0.286,not available
West Stockbridge,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
West Tisbury,Alcohol,0.833,0.586,0.75,0.933,0.677,0.474,0.667,0.8,0.875,0.821
West Tisbury,Marijuana,not available,not available,not available,not available,not available,0.316,not available,not available,not available,not available
West Tisbury,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
West Tisbury,Opioids,not available,not available,not available,not available,0.194,not available,not available,not available,not available,not available
West Tisbury,Other,not available,0.207,not available,not available,not available,not available,not available,not available,not available,not available
